athens, greece, baghdad, iraq, ['iraq', 'afghanistan', 'pakistan', 'indonesia', 'syria', 'iran', 'india', 'philippines', 'turkey', 'turkish']
athens, greece, bangkok, thailand, ['thailand', 'singapore', 'siam', 'philippines', 'laos', 'nhk', 'shane', 'cambodia', 'vietnam', 'malaysia']
athens, greece, beijing, china, ['china', 'eritrea', 'cambodia', 'albania', 'moldova', 'montenegro', 'mainland', 'brazil', 'turkish', 'bulgaria']
athens, greece, berlin, germany, ['germany', 'hungary', 'russia', 'belgium', 'austria', 'german', 'hitler', 'occupied', 'union', 'italy']
athens, greece, bern, switzerland, ['fairfield', 'jonesboro', 'uttar', 'switzerland', 'belgium', 'arkansas', 'romania', 'townships', 'dependencies', 'belonging']
athens, greece, cairo, egypt, ['afghanistan', 'egypt', 'syria', 'india', 'asia', 'libya', 'pakistan', 'iraq', 'iran', 'bulgaria']
athens, greece, canberra, australia, ['australia', 'iceland', 'ireland', 'canada', 'netherlands', 'belgium', 'zealand', 'norway', 'denmark', 'france']
athens, greece, hanoi, vietnam, ['turkey', 'antalya', 'thailand', 'uzbekistan', 'trondheim', 'romania', 'luzon', 'turkmenistan', 'serbia', 'tajikistan']
athens, greece, havana, cuba, ['cuba', 'brenda', 'guinea', 'equatorial', 'cuban', 'leary', 'eritrea', 'nigeria', 'moldova', 'ag']
athens, greece, helsinki, finland, ['romania', 'belgium', 'denmark', 'finland', 'serbia', 'cambodia', 'belarus', 'bulgaria', 'croatia', 'moldova']
athens, greece, islamabad, pakistan, ['pakistan', 'indonesia', 'lahore', 'libya', 'portugal', 'andalusia', 'slovenia', 'karachi', 'somalia', 'cultivating']
athens, greece, kabul, afghanistan, ['afghanistan', 'bulgaria', 'italy', 'china', 'syria', 'kandahar', 'cambodia', 'croatia', 'romania', 'egypt']
athens, greece, london, england, ['ireland', 'britain', 'references', 'railway', 'british', 'france', 'established', 'kingdom', 'following', 'england']
athens, greece, madrid, spain, ['spain', 'france', 'del', 'portugal', 'argentina', 'gandhi', 'incompleteness', 'portuguese', 'italy', 'americas']
athens, greece, moscow, russia, ['russia', 'romania', 'bulgaria', 'france', 'hungary', 'finland', 'germany', 'union', 'serbia', 'soviet']
athens, greece, oslo, norway, ['norway', 'accords', 'romania', 'denmark', 'mieszko', 'portugal', 'iceland', 'hungary', 'crimea', 'negotiations']
athens, greece, ottawa, canada, ['newfoundland', 'canada', 'quebec', 'ontario', 'halifax', 'baptist', 'labrador', 'atlantic', 'eu', 'baptists']
athens, greece, paris, france, ['france', 'italy', 'germany', 'belgium', 'spain', 'russia', 'l', 'de', 'met', 'portugal']
athens, greece, rome, italy, ['france', 'italy', 'spain', 'emperor', 'portugal', 'germany', 'following', 'austria', 'britain', 'roman']
athens, greece, stockholm, sweden, ['sweden', 'norway', 'denmark', 'belgium', 'switzerland', 'iceland', 'netherlands', 'finland', 'romania', 'portugal']
athens, greece, tehran, iran, ['iran', 'thailand', 'kinsey', 'vitro', 'iraq', 'afghanistan', 'vietnam', 'korea', 'russia', 'dependence']
athens, greece, tokyo, japan, ['japan', 'singapore', 'partners', 'hong', 'china', 'imports', 'kong', 'malaysia', 'philippines', 'exports']
baghdad, iraq, bangkok, thailand, ['thailand', 'vietnam', 'taiwan', 'hostilities', 'laos', 'declaration', 'signer', 'sdtv', 'prohibitions', 'neutrality']
baghdad, iraq, beijing, china, ['eritrea', 'libya', 'albania', 'finland', 'relations', 'moldova', 'allafrica', 'photos', 'china', 'kosovo']
baghdad, iraq, berlin, germany, ['germany', 'war', 'soviet', 'union', 'russia', 'hungary', 'finland', 'latvia', 'hitler', 'further']
baghdad, iraq, bern, switzerland, ['montevideo', 'tartu', 'freedoms', 'anzus', 'arkansas', 'constitution', 'polskiej', 'turkmenistan', 'ratifies', 'newcastle']
baghdad, iraq, cairo, egypt, ['egypt', 'libya', 'syria', 'afghanistan', 'oecd', 'lebanon', 'iran', 'kuwait', 'arabia', 'algeria']
baghdad, iraq, canberra, australia, ['australia', 'australian', 'uk', 'queensland', 'wales', 'act', 'britain', 'straits', 'category', 'borders']
baghdad, iraq, hanoi, vietnam, ['turkmenistan', 'turkey', 'uzbekistan', 'frontman', 'zmir', 'rancid', 'tajikistan', 'thailand', 'vietnam', 'chisel']
baghdad, iraq, havana, cuba, ['cuba', 'cuban', 'libya', 'kuwait', 'concluded', 'seceded', 'allafrica', 'withdraw', 'eritrea', 'libyan']
baghdad, iraq, helsinki, finland, ['finland', 'estonia', 'borders', 'armenia', 'georgia', 'belarus', 'libya', 'neutrality', 'eritrea', 'laos']
baghdad, iraq, islamabad, pakistan, ['libya', 'tunisia', 'sanctions', 'cultivating', 'lahore', 'hypercard', 'algeria', 'pakistan', 'superamerica', 'invade']
baghdad, iraq, kabul, afghanistan, ['israel', 'afghanistan', 'lebanon', 'withdrew', 'syria', 'egypt', 'libya', 'jordan', 'invaded', 'kuwait']
baghdad, iraq, london, england, ['britain', 'further', 'british', 'brought', 'uk', 'david', 'world', 'scotland', 'references', 'england']
baghdad, iraq, madrid, spain, ['allies', 'independence', 'spain', 'against', 'trust', 'efforts', 'gandhi', 'conflict', 'defeat', 'peace']
baghdad, iraq, moscow, russia, ['russia', 'declaration', 'war', 'declaring', 'soviet', 'independence', 'finland', 'roosevelt', 'union', 'stalin']
baghdad, iraq, oslo, norway, ['accords', 'peace', 'neutrality', 'signed', 'declaring', 'mieszko', 'norway', 'negotiations', 'accord', 'assured']
baghdad, iraq, ottawa, canada, ['joins', 'agreement', 'accord', 'biodiversity', 'canada', 'conclude', 'observes', 'atlantic', 'seceded', 'treaties']
baghdad, iraq, paris, france, ['peace', 'france', 'war', 'signed', 'talks', 'charles', 'britain', 'brought', 'friendship', 'treaty']
baghdad, iraq, rome, italy, ['king', 'against', 'brought', 'had', 'gave', 'britain', 'following', 'took', 'war', 'him']
baghdad, iraq, stockholm, sweden, ['sweden', 'estonia', 'finland', 'neutrality', 'norway', 'uk', 'stanford', 'australia', 'denmark', 'trust']
baghdad, iraq, tehran, iran, ['iran', 'kuwait', 'kinsey', 'declaration', 'testing', 'withdrawal', 'stalinism', 'mutual', 'stanford', 'deteriorated']
baghdad, iraq, tokyo, japan, ['japan', 'vietnam', 'united', 'war', 'singapore', 'britain', 'america', 'world', 'korea', 'relations']
baghdad, iraq, athens, greece, ['finland', 'egypt', 'greece', 'turkey', 'sought', 'morocco', 'war', 'algeria', 'against', 'defeat']
bangkok, thailand, beijing, china, ['greece', 'albania', 'china', 'mongolia', 'morocco', 'ethiopia', 'kenya', 'macedonia', 'montenegro', 'india']
bangkok, thailand, berlin, germany, ['east', 'germany', 'prussia', 'hungary', 'russia', 'poland', 'west', 'central', 'town', 'austria']
